Country,in operation,net capacity Mwe
Belarus,1,1.11
Belgium,6,4.936
Bulgaria,2,2.006
Czech Republic,6,3.934
Finland,5,4.394
France,56,61.37
Germany,3,4.055
Hungary,4,1.916
Netherlands,1,482
Romania,2,1.3
Russia,37,27.757
Slovakia,4,1.868
Slovenia,1,688
Spain,7,7.121
Sweden,6,6.882
Switzerland,4,2.96
Ukraine,15,13.107
United Kingdom,9,5.883
Italy,0,0
Poland,0,0
Greece,0,0
Portugal,0,0
Austria,0,0
Serbia,0,0
Denmark,0,0
Norway,0,0
Ireland,0,0
Croatia,0,0
Republic of Moldova,0,0
Bosnia and Herzegovina,0,0
Albania,0,0
Lithuania,0,0
The former Yugoslav Republic of Macedonia,0,0
Latvia,0,0
Kosovo,0,0
Estonia,0,0
Montenegro,0,0
Luxembourg,0,0
Malta,0,0
Iceland,0,0
Andorra,0,0
Monaco,0,0
Liechtenstein,0,0
San Marino,0,0
Georgia,0,0
Azerbaijan,0,0
Armenia,0,0
Turkey,0,0
Faroe Islands,0,0
Israel,0,0
